EXAMES: VISAO EXAME -> GRADE -> BLOCO (FUNIL ABRINDO),,,,,,,,,,,,,,
#,NOME DO EXAME,CODIGO V4.0,B4 (NICK),GRADE EXCLUSIVA,BLOCO,BLOCO NOME,B1,B2,B3,SEQ,GRUPO,SUBGRUPO,MODALIDADE,CODIGO ANTIGO
106,HE4,EXAM ONCO GSOF HE4X 0001,HE4X,GRADE SOFISTICADA,BLK013,BLOCO MARCADORES CANCERIGENOS,EXAM,ONCO,GSOF,0001,,,,
107,HEMOGLOBINA GLICADA,EXAM BINT GBAS HBA1 0001,HBA1,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
108,HEMOGRAMA,EXAM BINT GBAS HEMG 0001,HEMG,GRADE BASICA,BLK001,BLOCO BASE INTEGRATIVA,EXAM,BINT,GBAS,0001,,,,
109,HERPES SIMPLEX I II IGG,EXAM DSTX GINT HERP 0001,HERP,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
110,HERPES SIMPLEX I II IGM,EXAM DSTX GINT HER1 0001,HER1,GRADE INTERMEDIARIA,BLK016,BLOCO DST,EXAM,DSTX,GINT,0001,,,,
111,HIV 1 E 2,EXAM DSTX GBAS HIV1 0001,HIV1,GRADE BASICA,BLK016,BLOCO DST,EXAM,DSTX,GBAS,0001,,,,
112,HOLOTRANSCIBALAMINA,EXAM DABS GINT HOLO 0001,HOLO,GRADE INTERMEDIARIA,BLK010,BLOCO DEFICIENCIA ABSORCAO,EXAM,DABS,GINT,0001,,,,
113,HOLTER 24 HORAS,EXAM CIMG SGRD HOLT 0001,HOLT,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
114,HOMA BETA,EXAM GLIC GINT HOMA 0001,HOMA,GRADE INTERMEDIARIA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GINT,0001,,,,
115,HOMA IR,EXAM GLIC GINT HOMA 0002,HOMA,GRADE INTERMEDIARIA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GINT,0002,,,,
116,HOMOCISTEINA,EXAM CARD GBAS HMCS 0001,HMCS,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
117,HPV POR PCR,EXAM DSTX GSOF HPVP 0001,HPVP,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
118,INDICE DE OMEGA 3 ERITROCITARIO,EXAM CARD GINT OMG3 0001,OMG3,GRADE INTERMEDIARIA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GINT,0001,,,,
119,INSULINA,EXAM GLIC GBAS INSU 0001,INSU,GRADE BASICA,BLK003,BLOCO GLICEMICO INSULINICO,EXAM,GLIC,GBAS,0001,,,,
120,LARINGOSCOPIA,EXAM NDSC SGRD LARN 0001,LARN,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
121,LH,EXAM GONA GBAS LHXX 0001,LHXX,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
122,LIPOPROTEINA A,EXAM CARD GINT LPPA 0001,LPPA,GRADE INTERMEDIARIA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GINT,0001,,,,
123,MAGNESIO ERITROCITARIO,EXAM MINE GSOF MAGN 0001,MAGN,GRADE SOFISTICADA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GSOF,0001,,,,
124,MAGNESIO INTRAERITROCITARIO,EXAM MINE GSOF MAGN 0002,MAGN,GRADE SOFISTICADA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GSOF,0002,,,,
125,MAGNESIO SERICO,EXAM MINE GBAS MAGN 0001,MAGN,GRADE BASICA,BLK022,BLOCO MINERAIS COFACTORES,EXAM,MINE,GBAS,0001,,,,
126,MAMOGRAFIA BILATERAL,EXAM MAMO SGRD MAMO 0001,MAMO,SEM GRADE,BLK030,BLOCO MAMOGRAFIA,EXAM,MAMO,SGRD,0001,,,,
127,MAMOGRAFIA COM TOMOSSINTESE,EXAM MAMO SGRD MAM1 0001,MAM1,SEM GRADE,BLK030,BLOCO MAMOGRAFIA,EXAM,MAMO,SGRD,0001,,,,
128,MAPA 24 HORAS,EXAM CIMG SGRD MAPA 0001,MAPA,SEM GRADE,BLK027,BLOCO CARDIOLOGICOS DE IMAGEM,EXAM,CIMG,SGRD,0001,,,,
129,MERCURIO,EXAM TOXI GBAS MERC 0001,MERC,GRADE BASICA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GBAS,0001,,,,
130,MERCURIO URINA,EXAM TOXI GSOF MERC 0001,MERC,GRADE SOFISTICADA,BLK020,BLOCO METAIS TOXICOS,EXAM,TOXI,GSOF,0001,,,,
131,MTHFR A1298C,EXAM GENE GBAS MTHF 0001,MTHF,GRADE BASICA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GBAS,0001,,,,
132,MTHFR C677T,EXAM GENE GBAS MTH1 0001,MTH1,GRADE BASICA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GBAS,0001,,,,
133,MTR,EXAM GENE GINT MTRX 0001,MTRX,GRADE INTERMEDIARIA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GINT,0001,,,,
134,MTRR,EXAM GENE GINT MTRR 0001,MTRR,GRADE INTERMEDIARIA,BLK018,BLOCO GENETICA POLIMORFISMOS,EXAM,GENE,GINT,0001,,,,
135,MYCOPLASMA POR PCR,EXAM DSTX GSOF MYCO 0001,MYCO,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
136,NASOFIBROSCOPIA,EXAM NDSC SGRD NASO 0001,NASO,SEM GRADE,BLK028,BLOCO ENDOSCOPICOS,EXAM,NDSC,SGRD,0001,,,,
137,NEISSERIA GONORRHOEAE POR PCR,EXAM DSTX GSOF NEIS 0001,NEIS,GRADE SOFISTICADA,BLK016,BLOCO DST,EXAM,DSTX,GSOF,0001,,,,
138,NGAL,EXAM RENA GINT NGAL 0001,NGAL,GRADE INTERMEDIARIA,BLK014,BLOCO RENAL ESPECIFICO,EXAM,RENA,GINT,0001,,,,
139,OPRM1,EXAM FARM GSOF OPR1 0001,OPR1,GRADE SOFISTICADA,BLK019,BLOCO FARMACOGENETICA,EXAM,FARM,GSOF,0001,,,,
140,PCR US,EXAM CARD GBAS PCRU 0001,PCRU,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
141,PENK / PROENCEFALINA,EXAM RENA GSOF PENK 0001,PENK,GRADE SOFISTICADA,BLK014,BLOCO RENAL ESPECIFICO,EXAM,RENA,GSOF,0001,,,,
142,PERFIL DE ACIDOS GRAXOS,EXAM CARD GBAS PERF 0001,PERF,GRADE BASICA,BLK005,BLOCO LIPIDICO CARDIOMETABOLICO,EXAM,CARD,GBAS,0001,,,,
143,PROGESTERONA,EXAM GONA GBAS PROG 0001,PROG,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
144,PROGESTERONA SALIVAR,EXAM SHOM GBAS PRGS 0001,PRGS,GRADE BASICA,BLK023,BLOCO SALIVAR HORMONAL,EXAM,SHOM,GBAS,0001,,,,
145,PROLACTINA,EXAM GONA GBAS PROL 0001,PROL,GRADE BASICA,BLK006,BLOCO GONADAL,EXAM,GONA,GBAS,0001,,,,
